SubscriberCode,Gender,ElderlySubscriber,HasPartner,HasDependents,SubscriptionLengthMonths,HasPhoneService,HasMultipleLines,InternetServiceType,OnlineSecurityEnabled,OnlineBackupEnabled,DeviceProtectionEnabled,TechSupportEnabled,StreamingTVService,StreamingMoviesService,SubscriptionPlan,UsesPaperlessBilling,PaymentMethodUsed,MonthlyPaymentUGX,TotalPaymentUGX,DroppedService,District,MobileMoneySubscription,RuralSubscriber
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,72540.0,72540.0,Yes,Kampala,No,No
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,12 Months Contract,Yes,Card Payment,215640.0,12618360.0,No,Wakiso,Yes,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Pay As You Go,No,Card Payment,214560.0,10693080.0,No,Gulu,No,Yes
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Pay As You Go,Yes,Bank Standing Order,199080.0,5510160.0,No,Wakiso,No,No
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,357660.0,17096940.0,Yes,Wakiso,Yes,No
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Pay As You Go,No,Mobile Money,108720.0,108720.0,Yes,Mbarara,No,Yes
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,324900.0,22930020.0,No,Gulu,Yes,Yes
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Cash Payment at Agent,232920.0,3935160.0,Yes,Mukono,No,No
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,12 Months Contract,Yes,Card Payment,346860.0,24361020.0,No,Mukono,No,No
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Card Payment,343800.0,653940.0,No,Gulu,Yes,Yes
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,6 Months Contract,No,Cash Payment at Agent,238140.0,6748020.0,No,Wakiso,Yes,No
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Bank Standing Order,72720.0,72720.0,No,Jinja,Yes,Yes
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Pay As You Go,No,Bank Standing Order,162900.0,162900.0,No,Jinja,No,Yes
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,12 Months Contract,No,Bank Standing Order,359640.0,26106120.0,No,Jinja,Yes,Yes
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,250920.0,1140840.0,Yes,Mukono,No,No
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Pay As You Go,Yes,Card Payment,269280.0,12773880.0,Yes,Mukono,Yes,No
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,382860.0,12777300.0,Yes,Fort Portal,Yes,Yes
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,352260.0,3979440.0,Yes,Kampala,No,No
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,6 Months Contract,No,Cash Payment at Agent,178380.0,1712520.0,Yes,Arua,Yes,Yes
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,12 Months Contract,Yes,Card Payment,249120.0,17540460.0,Yes,Gulu,Yes,Yes
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,No,Cash Payment at Agent,74700.0,1505700.0,Yes,Arua,No,Yes
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,12 Months Contract,Yes,Card Payment,287460.0,17501220.0,No,Fort Portal,Yes,Yes
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Pay As You Go,Yes,Mobile Money,274320.0,3533220.0,No,Jinja,No,Yes
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,304200.0,14064120.0,No,Kampala,No,No
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,177300.0,349200.0,No,Wakiso,Yes,No
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,290340.0,518940.0,Yes,Gulu,Yes,Yes
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,287100.0,15184080.0,No,Jinja,Yes,Yes
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,12 Months Contract,Yes,Card Payment,230940.0,15314760.0,No,Fort Portal,No,Yes
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,324900.0,13819500.0,No,Arua,Yes,Yes
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Card Payment,356760.0,5135040.0,Yes,Mbarara,Yes,Yes
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Pay As You Go,Yes,Card Payment,250200.0,6309540.0,No,Jinja,Yes,Yes
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Pay As You Go,Yes,Card Payment,290340.0,2279880.0,Yes,Arua,Yes,Yes
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,6 Months Contract,Yes,Card Payment,269460.0,16042860.0,No,Wakiso,Yes,No
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,343620.0,6309180.0,Yes,Gulu,Yes,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,6 Months Contract,Yes,Card Payment,358740.0,22720320.0,No,Kampala,Yes,No
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,6 Months Contract,Yes,Mobile Money,390420.0,25474860.0,No,Wakiso,Yes,No
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Card Payment,89820.0,3219480.0,Yes,Gulu,Yes,Yes
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Card Payment,387000.0,28273320.0,Yes,Gulu,Yes,Yes
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,361800.0,16945560.0,Yes,Arua,Yes,Yes
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Pay As You Go,Yes,Bank Standing Order,323640.0,19622520.0,Yes,Gulu,Yes,Yes
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,12 Months Contract,No,Bank Standing Order,151560.0,10663200.0,Yes,Gulu,Yes,Yes
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,6 Months Contract,Yes,Card Payment,195840.0,3445560.0,No,Wakiso,Yes,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Pay As You Go,No,Mobile Money,339840.0,3086100.0,Yes,Mbarara,No,Yes
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Pay As You Go,Yes,Mobile Money,271080.0,878760.0,No,Mukono,No,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,6 Months Contract,Yes,Mobile Money,284040.0,13141260.0,No,Mukono,Yes,No
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,12 Months Contract,No,Cash Payment at Agent,285120.0,8989920.0,No,Gulu,Yes,Yes
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,72540.0,3351240.0,No,Jinja,No,Yes
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Pay As You Go,Yes,Cash Payment at Agent,287460.0,3194460.0,No,Mukono,Yes,No
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Pay As You Go,No,Cash Payment at Agent,176580.0,176580.0,Yes,Gulu,Yes,Yes
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,Yes,Mobile Money,73440.0,3926340.0,No,Mukono,Yes,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,401760.0,25556400.0,No,Fort Portal,Yes,Yes
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,87300.0,5128560.0,Yes,Gulu,No,Yes
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Pay As You Go,Yes,Bank Standing Order,232200.0,638640.0,No,Wakiso,No,No
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,6 Months Contract,No,Mobile Money,397800.0,22102200.0,No,Kampala,Yes,No
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,6 Months Contract,No,Card Payment,200340.0,9679860.0,No,Jinja,Yes,Yes
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,196740.0,1736100.0,No,Kampala,Yes,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,269100.0,7600680.0,No,Mbarara,No,Yes
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6 Months Contract,Yes,Card Payment,93240.0,4379760.0,Yes,Jinja,Yes,Yes
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,285660.0,285660.0,Yes,Fort Portal,No,Yes
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Pay As You Go,No,Mobile Money,181980.0,2035260.0,No,Mukono,Yes,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Pay As You Go,Yes,Bank Standing Order,270540.0,1788840.0,Yes,Kampala,Yes,No
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Pay As You Go,Yes,Bank Standing Order,373680.0,15579000.0,Yes,Gulu,Yes,Yes
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,72540.0,3504060.0,Yes,Arua,Yes,Yes
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Pay As You Go,Yes,Card Payment,357480.0,3307500.0,No,Jinja,Yes,Yes
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,6 Months Contract,Yes,Bank Standing Order,223740.0,7975620.0,Yes,Gulu,No,Yes
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,74340.0,3805200.0,No,Jinja,Yes,Yes
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Cash Payment at Agent,71820.0,3337560.0,No,Jinja,Yes,Yes
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Pay As You Go,No,Cash Payment at Agent,121500.0,3633300.0,Yes,Arua,No,Yes
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Pay As You Go,No,Bank Standing Order,295380.0,9252720.0,No,Fort Portal,Yes,Yes
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Pay As You Go,No,Mobile Money,268920.0,268920.0,No,Wakiso,Yes,No
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Cash Payment at Agent,302400.0,20571300.0,No,Kampala,Yes,No
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Card Payment,399780.0,25585200.0,No,Mukono,Yes,No
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,363240.0,26852580.0,No,Kampala,Yes,No
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,284220.0,3338460.0,Yes,Arua,Yes,Yes
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,6 Months Contract,Yes,Card Payment,240660.0,17095320.0,No,Fort Portal,Yes,Yes
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,75780.0,409860.0,Yes,Mukono,Yes,No
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Bank Standing Order,75600.0,3985920.0,No,Fort Portal,No,Yes
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,354600.0,9052200.0,Yes,Mukono,Yes,No
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,72720.0,72720.0,No,Kampala,Yes,No
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Mobile Money,70020.0,70020.0,Yes,Wakiso,Yes,No
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,6 Months Contract,No,Bank Standing Order,342000.0,12980160.0,No,Mbarara,No,Yes
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,6 Months Contract,No,Bank Standing Order,163980.0,10898100.0,No,Mukono,Yes,No
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,12 Months Contract,Yes,Bank Standing Order,396000.0,27402660.0,Yes,Kampala,Yes,No
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,87480.0,360720.0,No,Kampala,Yes,No
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,6 Months Contract,Yes,Mobile Money,374940.0,26290980.0,No,Mbarara,Yes,Yes
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,6 Months Contract,No,Cash Payment at Agent,108540.0,3339540.0,No,Mbarara,Yes,Yes
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,6 Months Contract,No,Cash Payment at Agent,339660.0,14116680.0,No,Wakiso,Yes,No
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Card Payment,69840.0,4907700.0,No,Jinja,Yes,Yes
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Pay As You Go,Yes,Mobile Money,348300.0,18860040.0,Yes,Arua,Yes,Yes
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,6 Months Contract,No,Card Payment,208620.0,10952100.0,No,Wakiso,Yes,No
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Pay As You Go,Yes,Mobile Money,329940.0,14234760.0,No,Mbarara,Yes,Yes
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,275400.0,10325340.0,Yes,Kampala,Yes,No
5256-SKJGO,Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,12 Months Contract,Yes,Mobile Money,196560.0,12324600.0,Yes,Arua,No,Yes
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Pay As You Go,No,Mobile Money,323460.0,894240.0,No,Mbarara,Yes,Yes
9560-BBZXK,Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,12 Months Contract,No,Bank Standing Order,111780.0,4054860.0,No,Mbarara,No,Yes
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Pay As You Go,Yes,Mobile Money,360900.0,3832740.0,Yes,Mbarara,Yes,Yes
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,74340.0,3006540.0,No,Kampala,Yes,No
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Pay As You Go,Yes,Card Payment,306720.0,7745760.0,No,Fort Portal,Yes,Yes
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6 Months Contract,Yes,Card Payment,359280.0,19855620.0,No,Jinja,Yes,Yes
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,74520.0,405900.0,No,Fort Portal,Yes,Yes
0404-SWRVG,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Pay As You Go,Yes,Mobile Money,267840.0,826380.0,Yes,Wakiso,No,No
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Pay As You Go,No,Cash Payment at Agent,182520.0,1261260.0,No,Fort Portal,Yes,Yes
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,75060.0,226440.0,No,Fort Portal,Yes,Yes
4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,12 Months Contract,Yes,Mobile Money,320220.0,10899540.0,No,Mukono,No,No
4412-YLTKF,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Pay As You Go,Yes,Mobile Money,280980.0,7687800.0,Yes,Arua,No,Yes
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Bank Standing Order,84780.0,6206220.0,Yes,Gulu,Yes,Yes
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Pay As You Go,No,Cash Payment at Agent,71100.0,71100.0,No,Kampala,Yes,No
2639-UGMAZ,Male,1,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,6 Months Contract,Yes,Mobile Money,203220.0,14347260.0,No,Jinja,Yes,Yes
2876-GZYZC,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,309420.0,4376340.0,No,Fort Portal,Yes,Yes
6207-WIOLX,Female,0,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Pay As You Go,Yes,Card Payment,210960.0,5409540.0,Yes,Jinja,No,Yes
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,12 Months Contract,No,Bank Standing Order,181980.0,11736360.0,Yes,Jinja,Yes,Yes
3091-FYHKI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Pay As You Go,Yes,Mobile Money,127620.0,127620.0,Yes,Kampala,Yes,No
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Pay As You Go,No,Mobile Money,159660.0,292500.0,Yes,Mbarara,Yes,Yes
7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,Yes,Card Payment,92520.0,4277520.0,No,Fort Portal,Yes,Yes
7850-VWJUU,Female,0,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Pay As You Go,Yes,Bank Standing Order,270000.0,6402600.0,No,Mbarara,Yes,Yes
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12 Months Contract,No,Cash Payment at Agent,72720.0,4599900.0,Yes,Arua,Yes,Yes
